video_id,date,count
56,2017-12-23,33
96,2017-12-15,58
100,2017-12-04,114
32,2017-12-25,18
79,2017-10-17,46
43,2017-11-03,98
91,2017-10-14,118
2,2017-10-30,58
38,2017-09-25,55
15,2018-01-22,95
41,2017-12-01,72
90,2017-11-06,92
20,2018-02-10,58
80,2018-01-02,67
33,2017-12-11,89
69,2017-12-08,97
57,2017-10-29,184
65,2018-01-04,27
16,2017-12-23,47
31,2017-12-12,54
89,2018-01-23,102
50,2017-11-12,94
12,2017-12-23,80
29,2017-10-20,51
78,2017-12-15,42
70,2017-11-08,75
42,2017-11-08,63
59,2018-01-21,79
88,2017-09-13,98
71,2017-12-28,34
27,2017-12-30,24
54,2017-12-16,116
93,2017-10-16,107
76,2018-01-07,25
49,2018-01-19,44
59,2017-11-21,75
44,2017-11-04,150
22,2018-01-31,64
95,2018-01-29,68
35,2017-12-01,87
65,2017-10-11,49
57,2017-10-12,109
30,2017-12-23,42
13,2017-09-18,154
15,2017-12-27,73
91,2017-11-20,122
15,2017-11-11,134
99,2017-10-23,77
94,2017-12-31,38
16,2017-09-19,115
13,2017-12-07,102
17,2017-10-04,139
67,2017-11-29,45
72,2017-11-19,35
73,2017-10-02,92
18,2018-01-05,71
30,2017-11-17,34
38,2018-01-21,34
35,2018-01-17,47
48,2018-01-13,55
98,2018-01-29,30
8,2017-10-19,102
83,2017-12-17,69
99,2017-11-12,77
48,2017-10-11,101
42,2017-09-17,56
3,2017-11-09,37
65,2017-10-02,58
42,2017-12-18,36
68,2017-10-06,78
51,2017-11-28,79
28,2017-10-04,72
64,2017-11-02,36
89,2017-12-27,68
65,2018-01-03,25
96,2017-10-19,62
60,2017-11-29,47
60,2017-12-03,68
48,2017-10-14,78
30,2017-11-20,51
54,2017-10-14,97
84,2018-01-19,130
21,2017-09-30,144
3,2018-01-01,22
100,2017-11-26,109
23,2018-01-01,81
24,2017-11-30,83
26,2018-02-14,65
50,2017-10-06,82
25,2017-11-07,45
75,2017-11-06,60
32,2017-10-13,48
73,2017-10-10,93
47,2017-10-20,70
75,2017-09-29,124
64,2017-12-05,24
19,2018-01-04,66
30,2017-12-01,47
62,2018-02-13,98
62,2018-01-23,97
87,2017-12-15,75
60,2017-10-19,72
77,2017-12-14,49
2,2018-01-27,30
78,2017-11-16,51
65,2017-09-21,46
85,2018-02-21,64
98,2017-10-23,74
53,2017-12-12,77
47,2017-11-11,55
90,2017-12-21,69
54,2017-11-08,140
61,2017-11-10,115
80,2017-11-12,50
95,2017-12-14,81
100,2018-02-10,82
87,2017-10-24,83
9,2017-12-24,67
62,2017-12-02,138
27,2017-10-25,36
93,2017-12-16,131
56,2017-10-28,81
10,2017-10-24,85
20,2017-12-20,85
10,2018-02-13,67
12,2017-12-09,49
49,2018-02-14,49
97,2017-10-18,68
87,2017-12-30,72
19,2017-11-20,97
42,2017-10-16,54
91,2017-10-04,150
97,2017-12-17,71
1,2018-01-06,93
32,2017-09-10,62
17,2017-11-08,94
59,2017-12-09,118
74,2018-01-14,148
28,2017-10-29,73
78,2017-10-08,57
32,2017-11-22,20
8,2018-01-09,69
8,2017-11-02,79
2,2017-10-19,54
44,2017-12-23,140
100,2017-10-26,133
41,2018-01-29,41
17,2017-11-28,76
69,2017-11-14,75
22,2018-01-17,79
49,2017-12-10,62
65,2017-11-13,60
24,2017-12-29,63
14,2017-10-17,59
91,2017-11-23,112
42,2017-10-01,67
39,2017-11-04,91
50,2018-01-20,72
75,2017-09-28,87
